,,,,Nieuwjaarsborrel 2012 Vriendenkring, Bandpromotion 2012, Astebleefconcert 2012, Najaarsconcert 2012, De waeg (Zangkompenie), Kerstmarkt 2012, Bandpromotion 2013, Sing challenge 2013, Vrouwenbond Den Elze, Koninginnen concert Vocalgroup Transparant, Astebleef juni 2013, Ouverture 2013, Tex-free festival 2013, Astebleef september 2013, Najaars concert 2013, Kerstmarkt Straelen 2013, Kerstconcert 2014, Blierick Prissenteert, Texfree 2014, Astebleef concert 2014, Ouverture 2014, Benefiet concert Toon Hermans huis, Najaars concert 2014, Kerstoptreden binnenstad Venlo, Kerstconcert bij reumavereniging, Muziek onder de toren, Steyl Promotion 2015, Astebleefconcert 2015, Zomeravondconcert Baolderse Hofzangers, Presentatieconcert Drumbeatz, Ouverture 2015, Najaarsconcert Blerickse Zangkompenie, Kerstconcert bij Berden, Kerstconcert met Harmonie Blerick, Mobiel kerstconcert binnenstad, Astebleefconcert 2016, Rozenfeesten Lottum, Ouverture 2016, Lustrumconcert The Inspiration, Kerstconcert Leurs, Mobiel kerstconcert binnenstad, Kerstoptreden Beej Benders, Verjaardag Angelique, Sing Challenge 2017, Kasteeltuinen 2017, Vrinde van Orpheus 2017, Providence 2017, Volkorenfestival 2017, Herfstconcert Voices 2017, Kerstconcert Leurs 2017, Kerstmarkt Blerick 2017, Kerstdiner SGL 2017, Kerst Astebleefconcert 2017, Lempkesoptroch 2017, Huwelijk Thomas en Elaine, Museum de Locht, Schopke Venray, Voorjaarsconcert Reuvers mannenkoor, Voorjaarsconcert Baolderse Hofzengers, Joyim goes Dutch, Ouverture Nieuwe Stijl, Najaarsconcert Inspiration, Kerstconcert Mariaweide, Kerstconcert , Kerstmarkt Blerick 2018, Zij Actief 2018, De Locht in de Winter, Paasoptreden Miller and Monroe, Zomeroptreden Museum De Locht, Zomeroptreden Kasteeltuinen, Pleinfeesten Tegelen, Venlo Verenigt 2019, Kerstconcert 2019
,"Titel","Datum", "Lengte", 5-1-2012", 8-1-2012", 22-9-2012", 30-9-2012", 28-10-2012", 9-12-2012", 13-1-2013", 10-3-2013", 16-3-2013", 24-4-2013", 1-6-2013", 9-6-2013", 14-8-2013", 14-8-2013", 22-9-2013", 15-12-2013", 15-12-2013", 23-3-2014", 24-8-2014", 14-9-2014", 21-9-2014", 15-10-2014", 16-11-2014", 13-12-2014", 18-12-2014", 25-4-2015", 6-6-2015", 13-6-2015", 19-6-2015", 13-9-2015", 20-9-2015", 18-10-2015", 13-12-2015", 20-12-2015", 23-12-2015", 13-8-2016", 14-8-2016", 18-9-2016", 9-10-2016", 25-11-2016", 17-12-2016", 23-12-2016", 5-2-2017", 11-3-2017", 6-5-2017", 15-9-2017", 17-9-2017", 24-9-2017", 15-10-2017", 15-12-2017", 17-12-2017", 20-12-2017", 23-12-2017", 23-12-2017", 18-2-2018", 25-2-2018", 1-3-2018", 1-6-2018", 22-6-2018", 15-7-2018", 16-9-2018", 28-10-2018", 16-11-2018", 23-11-2018", 9-12-2018", 19-12-2018", 13-1-2019", 20-4-2019", 21-7-2019", 24-8-2019", 31-8-2019", 22-9-2019", 22-12-2019"
0, You're the inspiration, "5-10-2011", "4:09", 2, 2, 2, 2, 5, 2, 8, 9, 9, , 9, 2, 6, 10, 8, 2, 2, 1, 12, 3, 15, , 1, 8, , 5, 9, 7, 7, 4, 1, , , 11, 5, , 9, , 4, 1, , , 3, 3, , 2, 2, 17, 2, 4, 5, 11, 2, , 9, 5, 17, 10, 4, , 1, , 1, , , 8, 11, 9, 15, , , , , 
1, Time after time, "5-10-2011", "4:07", 3, 3, 3, 3, 6, 3, 7, 4, 4, 4, 4, , 2, 4, 10, 9, 5, 7, , 13, , , 9, , , 7, , 1, , 7, , , 3, 4, , 7, 9, , , 2, , , , , 8, , 9, , , 7, 4, 5, , , 3, 10, 6, , , , , 4, , , 3, , 7, 2, , , , , 
2, Lollipop, "5-10-2011", "2:10", 1, 1, 1, 1, 2, 1, 6, 1, 1, , 1, 3, , 1, 7, , , 10, 1, 5, , , 1, , , 6, , 8, , 6, , , , , , , , , , , , , , , 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, Chirpy chirpy cheep, "26-11-2011", "2:55", , , 4, 4, 1, 4, 1, 6, 6, , 6, 1, 1, 6, 1, , , , 5, 8, , , 3, , , 10, , 4, , 8, , , , , , , , , , , , , , , 19, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, Fire, "11-4-2012", "3:26", , , 6, 6, 3, 6, 3, 2, 2, 1, 2, 6, 4, 2, 3, 6, 6, 5, 7, 4, 16, , , 5, , , 1, 8, 5, , , 5, , 5, , , 11, , 3, , 14, , , , , 17, , 10, 3, , , , , , 2, 1, 11, 12, 2, , , , , , , , , 10, 1, , , , , 
5, Crazy little thing called love, "11-5-2012", "2:41", , , 5, 5, 4, 5, 4, 10, 10, 5, 8, , 5, 8, 9, 11, , 2, 9, 10, 19, 3, 2, 13, , , 14, 1, 16, , 9, , , 2, , , 2, 2, 5, 7, , , , , , 4, , 1, 6, , , , , , , 6, 1, 9, 3, 3, , 3, 12, , , , , 1, 17, , , , , 
6, It's raining men, "15-5-2012", "4:26", , , 8, 8, 7, 8, 9, 5, 5, 6, 10, , 7, 11, 11, , , 8, 11, 14, 5, 3, 7, , , 8, 6, 6, , 14, , , 9, , , 10, 8, , , , , , , , 16, 7, 18, 14, , , , , , , , 9, 18, , , , , , , , , , 8, , , , , , 
7, Mercedes Benz, "3-6-2012", "1:58", , , 7, 7, 8, 7, 2, 7, 7, , 3, 5, , 3, 2, 7, 3, 9, 4, 9, 4, , 10, , , 11, 11, 11, , 5, , , 8, 2, , , , , , 4, , 6, , , 6, , 8, 9, 7, , 18, 8, , 4, , 14, 14, , , , 4, 10, , , 11, , 11, 11, , , , , 
8, Thank God it's Christmas, "2-10-2012", "4:17", , , , , , 9, , , , , , , , , , 5, 12, 1, , , , , , , 1, 1, , , , , , , , 1, 1, 1, , , , , 5, 9, 4, 2, , , , , , , , 10, 8, 20, 10, 5, , , , , , , , , , , 2, 4, 13, , , , , , , 
9, Monday monday, "2-10-2012", "2:49", , , , , , , 5, 8, 8, 3, 7, 4, , 7, 5, 4, , 11, 3, 2, 2, , 12, , , 3, 10, 13, , , , 2, , , , 3, 3, 2, 3, , , , , , 18, , 5, , , , , , , , , 5, 2, , , , , , , , , , , 19, , , , , 
10, Do they know it's Christmas, "14-11-2012", "3:44", , , , , , 10, , , , , , , , , , 1, 8, 4, , , , , , , 2, 4, , , , , , , , 7, 7, 3, , , , , 6, 16, 5, 5, , , , , , , , 6, 13, 6, 10, 15, 12, 6, 1, , , , , , , , , 3, 4, 6, 7, , , , , , , 
11, Beat it, "30-1-2013", "3:47", , , , , , , , 3, 3, 2, 5, 7, 3, 5, 4, , , 4, 10, 7, 18, , , 4, , , 2, 3, 2, 17, , 10, 3, 3, , , , 4, 4, , 9, , , , , , 1, , 15, , , , , , , , , 15, 5, , , , 5, 5, , , , , 3, 4, , , , , 
12, Summer nights, "10-4-2013", "3:40", , , , , , , , , , , , , , 9, 6, , , 6, 8, 6, , , 11, , , 15, 5, 12, 3, 12, 7, 7, , , , 8, 6, , 2, , , , , , 14, , 16, 11, , , , , , , , 16, 13, , , , , , , , , , 4, 12, , , , , 
13, Abba medley, "31-7-2013", "5:17", , , , , , , , , , , , , , , , , , 12, 6, 12, 21, 7, , 14, , , 12, 12, 18, , 11, 1, 1, 6, , , 12, 10, 8, 4, , , , , 1, 7, 1, 4, 1, 1, , , , , 14, , 6, 17, 1, 5, , 1, 7, , , , 12, 15, 7, , , , , 
14, Merry Christmas everybody, "31-8-2013", "3:04", , , , , , , , , , , , , , , , 3, 10, 7, , , , , , , 4, 6, , , , , , , , 4, 3, 2, , , , , 3, 15, 2, 8, , , , , , , , 3, 15, 2, 1, 1, 11, , , , , , , , , 5, 6, 2, 2, , , , , , , 
15, Yesterday, "22-1-2014", "2:33", , , , , , , , , , , , , , , , , , 3, , 11, 17, 6, , 2, , 2, 13, 4, 9, 2, 3, 2, 4, , , , 6, 7, 6, 8, 10, , , , , 13, , 11, 4, , , , , , , , 8, 7, , , , , , , , , 10, 5, , , , , , 
16, Barbara Ann, "2-4-2014", "1:36", , , , , , , , , , , , , , , , , , , 2, 1, 20, 1, , , , , 4, 9, 3, 15, 1, 2, , 5, , , , 5, 5, , , , , , , , 5, , 2, , , , , , , , , 3, 3, , , , , , , , , , , 13, , , , , 
17, Only You, "1-5-2014", "3:06", , , , , , , , , , , , , , , , , , , , , , , 6, , , 5, 2, 14, , 4, 4, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 18, , , , , 
18, Please come home for christmas, "8-11-2014", "2:54", , , , , , , , , , , , , , , , , , , , , , , , 3, 3, , , , , , , , 10, 6, 4, , , , , 1, 13, 1, 4, , , , , , , , 2, 9, 3, 13, 19, 3, 2, 3, , , , , , , , , 6, 7, 10, 8, , , , , , , 
19, Beach boys medley, "7-3-2015", "4:01", , , , , , , , , , , , , , , , , , , , , , , , , , , , 10, 5, 13, 6, 8, , , , 1, 1, 1, 10, 12, , , 1, 6, 20, 8, 14, 7, 8, , , , , 7, , 18, 16, 5, , , , 14, , , , , 19, 21, , , , , 
20, Merry Christmas Everyone, "30-9-2015", "3:36", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12, 8, 5, , , , , 8, 11, 6, 1, , , , , , , , 8, 11, 5, 9, 17, 7, 7, 5, , , , , , , , , 7, 8, 9, 14, , , , , , , 
21, Banger Hart, "30-9-2015", "4:05", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5, , , , , 2, 3, 6, 3, 8, 5, , , , , , , 4, 15, , , 2, , 2, , , , , 6, 6, , , , , 
22, Brand new Day, "29-3-2016", "2:54", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 11, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, The Pianoman, "6-4-2016", "5:38", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7, 6, 7, , , 2, 5, 12, 5, 12, 10, , , , , , 13, , 12, 8, , , 8, , 11, , , , 3, 2, 10, , , , , 
24, Simply having a wonderful Christmas time, "5-11-2016", "3:43", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, 7, , , , , , , , 1, 4, 14, 16, 9, 4, 15, , , , , , , , , 2, 3, 1, 9, , , , , , , 
25, Listen to the Music, "5-12-2016", "3:57", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 3, 10, 4, 7, 5, 6, 12, , 11, , 12, 4, 7, 1, , , , , , , , , , 13, 20, , , , , 
26, House for Sale, "8-2-2017", "4:45", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 15, 3, 6, 12, 2, , , , , 6, , 2, 4, , , 6, , 3, , , , , 12, 9, , , , , 
27, Love me just a little bit more, "13-4-2017", "3:15", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 13, 13, 3, 14, , 4, , 10, 2, 13, 11, , 1, 5, 7, 8, , , , 4, 17, 8, , , , , 
28, Something about Christmas Time, "18-10-2017", "4:10", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16, 1, 7, 12, 21, 6, 3, 8, , , , , , , , , 1, 1, 7, 1, , , , , , , 
29, Holiday in Spain, "22-10-2017", "3:52", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 7, 2, 13, , , , , 16, 3, , , , , 
30, The Road Ahead is Empty, "1-2-2018", "4:20", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 3, 6, 9, , , 5, 5, , 5, , , , , 
31, Brabant, "3-4-2018", "3:43", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, Op Straat, "4-4-2018", "4:08", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, , 6, , , , , 14, 16, , , , , 
33, Stop the Cavalry, "7-11-2018", "2:56", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 5, 12, 6, , , , , , , 
34, Bon Jovi Medley, "20-4-2019", "6:35", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 14, , , , , 

Programma's gemaakt door:
Wilbert Alberts,16
Marielle Aquina,11
Miek Besouw,2
Angelique Pijnenburg,9
Anita Cremers,8
Nelly ,5
Joyce van der Genugten,4
Helmi SavelKoul,1
